Speaker 1:          00:10          Thanks everybody. Thanks for being here.

Speaker 2:          00:13          Uh, today I am talking about the ethical oos ethical operating system, uh, or if you want to call it a guide to anticipating the future impact of today's technology. We'll talk a lot more about what that means. Uh, but for now, let's just say that this talk is about how not to regret the things that you will build. Um, and the ways, the tools, the foresight, the frameworks that we can bring to the process of developing new technologies to ensure that we have in mind from the outset, the user, the societies, the communities that will be impacted by the products that we actually build and ultimately ship. So as already mentioned, I am yours. If, um, there's my Twitter handle, if you want to tag me. Um, I have been doing this work and thinking pretty deeply about how we build more innovative, yet responsible products for a while at Omidyar network.

Speaker 2:          01:15          Uh, and let me tell you a little bit about what Omidyar network is and what the tech and society solutions lab is. To give a little context. So this is my boss's boss's boss. Uh, Pierre Omidyar, who was the founder of Ebay and from the earliest days at Ebay, Pierre had a vision for tech as a great distributor of opportunity in the world and a great tool for empowering people to, uh, really lift themselves up, right? If you think about Ebay as a marketplace where everyone could be a buyer and a seller, it was at the core a project in that idea of empowerment. And so when Ebay IPO, Pierre took much of the wealthy accumulated and rolled it into Omidyar network as well as our sister institutions, uh, to have social impact through four and nonprofit investments. And so for the last 14 or so years, Omidyar network has been making investments globally in things like financial inclusion, citizen engagement, education, property rights, digital identity, a whole range of things with this central thesis of empowering people around the world.

Speaker 2:          02:24          Uh, in about 2016 or so, we, like everyone else kind of ran into a brick wall of an awakening. That sort of happened, I think for a lot of us around Brexit and for many of us around the 2016 elections. And some of what happened through the 2016 elections in terms of manipulation of our democratic process, et cetera. When we all kind of collectively woke up and said, oh, wait a second, that tech that we thought was just going to solve all the world's problems actually has some pretty deep, uh, problems and challenges that we actually need to address as well. And so we had a mid network beyond thinking about, okay, we've had this techno optimism for so long. How do we actually ensure that the tech that we are developing is actually good for people? So not just thinking about tech in its application for good, but actually tech that at its core is good.

Speaker 2:          03:14          And so we stood up the tech and society solutions lab, which Eh, aims at our core to help technologists to mitigate, to prevent, to correct the downsides of technology, to ensure that it can live up to its potential as that positive force for good in the world. And so we're doing that by cocreating and supporting the creation of solutions to advance these goals. There's been a lot of talk about the problems. We'll do a little bit of that, uh, in a few minutes. But at the core we're focused on what are the solutions to those challenges. And Ethical Oos is one of the tools that we've built in order to address some of those challenges. So what brings us here today, um, there's been a lot of talk about the challenges that tech has created for people and these are just a few that are appearing, uh, challenges around transparency and pass pass city, uh, about how decisions are made around tech and what decisions are being made beyond our control and beyond our understanding how algorithms are developed and the biases that they might be perpetuating, how privacy and security are built or not in the products, how text mono culture might be perpetuating many of these things, uh, ranging all the way down to environmental impacts of the tech we're building and rising social inequality and economic inequality.

Speaker 2:          04:41          It's a whole range of issues that bring us to the table and thinking about how we build more responsible products. So here's an analogy I like to use, and this is with all credit to the folks at Santa Clara University in their tech ethics practice. But foresight issues, if you will, ethical issues are like birds first. They're everywhere. Okay? Some are ordinary, some rares, some are big, some are small, some are local, some are exotic, some are ubiquitous, but there are birds everywhere. But it's actually really easy to go through life surrounded by them and not see them at all. Right? They just sort of are in the background and if you're not paying attention, you won't even notice the birds. Getting good at seeing them is a skill only built by practice. And practice makes us finding them easier and actually more rewarding. So when your practice and seeing the birds, it becomes an a daily ritual.

