Speaker 1:          00:06          Yeah, go ahead. I need that energy

Speaker 2:          00:10          coast. I'm from New York and I'm like this, that your collapse. Help wake me up. Uh, so this is my talk, the Golden Hour. This talk could save the Internet. I know, I was looking for a low bar there. Um, the secret role you play in the digital safety and health of the entire Internet. And when I was talking to Kat, Kat said, you know, it's like, you know, cybersecurity awareness month in like, there's a lot of stuff going on here. And I was trying to come up with what's a talk that can reach a lot of different people regardless of whether they're like super double o seven Jane Bond, James Bond or whether they're like marketing and stuff. So this is my attempt and this talk, uh, goes out to my fam. Thanks you so much. Okay. All right. So, um, these slides I'll give to cat so other people can have, it's like a pretty chill license and you can like share them with your friends.

Speaker 2:          01:00          All right. So, um, I used to work for this group called dgs. And ggs security is a hostile environment, training and support group and there are risk mitigation company. And if you are a journalist and you're about to cover a war zone or a hurricane, uh, if you are an NGO worker and you're going to help a village of people in a place where it politically unstable, you need to know how to get back home. Okay? You need to know how to protect the person to your left or right because there's not always an ambulance or a cab or a hospital even to go to. And that's what ggs specializes in. And they do something called risk induced to learning. Uh, sorry. Uh, so what they do is they kind of like create a simulation of a threat. So you will know whether you are someone who locks up or laughs or runs.

Speaker 2:          01:50          All those things are not good, but they need to reach you where you are and teach you how to balance that out and get to safety. And a, that's my hand there. When it was covered in fake blood Hollywood blood, they had someone with like a blood pack and like it was like meant to pump like a heart and it was warm and I was learning how to suture and take care of an artery and it was very stressful, but it was designed to be sell. Right. Um, what was I doing for Gjs is I would do like a digital thread. So it's one thing to say you should use signal or a, you know, it's important that you cover your laptop camera, but it's another thing to see a laptop that is compromised and you can see the what's going on through the camera.

Speaker 2:          02:27          It's another thing to actually like see what it's like when your text messages or strung up on a screen. So we would get a confirmation and permission from people and then create that lab environment and they can simulate that and then walk backwards. And now let me tell you, everyone is like, that's it. I'm using signal or whatever secure thing is after that. Right? So, uh, what does this have to do with my talk? I'm it forward. Um, the golden hour and a, there's this thing that this guy doctor are Adam's Crowley. And uh, his first name really is the letter R, which is awesome. And he says there's a golden hour between life and death. If you're critically injured, you have less than 60 minutes to survive. You might not die right then in may be three days or two weeks later. But something has happened in your body that is air repairable, right? And the idea is that there's a golden hour this moment of time and what people do, right, whether they tilting your head or lifting your legs or puts a blanket on you or whatever in those first 60 minutes has to do with what your life will be like afterwards, whether you'll have a full recovery and this will be a scary memory or maybe you'll have permanent damage or you're no longer with us.

Speaker 2:          03:40          Cool. So let's talk about our, so our Adams Crowley is the father, they say of American Trauma Care Systems and uh, organized trauma care that saves lives. Before this, there was this idea that if you go to a hospital that's close, you have a pretty good chance it's filled with doctors and nurses and it's filled with drugs and medicine, you'll be okay. But he is someone who had experience with shock and trauma. And even in the 50s when he was in the army realized that that's not how it worked. He had a lab at first we just four beds and they called it the death lab. And they would, people would just bring him, the doctors just bring him patients. And they were like, there's no hope for this patient. And through trial and error and through real scientific method, he found a way to kind of rural outlook as much as possible and bring those patients to a place where they can be stabilized. Really amazing individual, by the way. Right? And in Maryland is where the first shock trauma center is, and the same day after him.

Speaker 2:          04:35          Okay, so here's the idea of what the golden hour looks like. You have the things that kill you the first, right? Hypothermia, blood loss, your heart stopping. Those are major things, right? And, uh, there's her amount of time and there's a chart and it's important that you learn it. And if you work in an EMS like an ambulance and you learn a, B, c, d, and each letter is something you should do. And if you were trauma care, like the, the work that I did with gcs and you learned something called March because, uh, some things don't apply when you're the middle of nowhere. Okay. The concept of the golden hour is things like treat the greatest threat to life first treat despite lack of definitive diagnosis, treat despite complete history, like a medical history. And the thing there was just treat, treat, treat it like your first on the scene. You jump in, do something.

Speaker 3:          05:25          Yeah.

Speaker 2:          05:26          So, uh, there's this other concept which is kind of making you go like, wait, I'm in the wrong room. No, you're in the right room. Okay. So that's called Internet health. And, um, I had a fellowship for 10 months with this group call Mozilla. They make a browser, but I can't remember the name. I said, that's where the chrome people. Okay. And, um, and, uh, they have a report every year, which is like, what is the Internet health like? And they have different parts in or when they try to talk about what if we were able to walk around, like we had a hospital chart and we were like, okay, the Internet's legs are like this, the Internet's heartbreak is like that and we can measure the health of the Internet. So how has the Internet doing? You're probably asking, well, I'm sorry, my friends, those here in attendance and those watching from their air condition, uh, you know, awesome offices and homes, uh, not doing so well. I'm going to walk through what I call the trauma and shock of the Internet. So let's, uh, this is kind of like a digital trigger warning.

Speaker 2:          06:25          Uh, we have an online retailer that built an AI recruiter, which seems like a really good idea. Something to help you go through the insane number of awesome candidates if you have an opening or open rec for a position in a company. And it's especially those entry level once you're just does a day Lucia of resumes and amazing people applying. How could one person do this? Let's get a robot to do it. But in this case, the robot turned evil and was throwing out resumes that mentioned the word women's, which basically any woman's resume, not good Internet, right?

Speaker 3:          07:00          Yeah.

Speaker 2:          07:01          We had that same online retailer that was working on a really cool way to do like facial recognition and using that in images and apps and all kinds of stuff. But the first candidates in the first clients, we're testing it, we're law enforcement agencies, uh, who at first said, we're not doing this anymore. We're going to stop. And then as of a couple of days ago, it was like, we're in phase two, we're back red. That is not a good thing because I don't know about you, but when I chose to just hang out in a dark basement with my computer instead of playing with all the other boys and girls and gender nonconforming folks, right. Uh, I wasn't envisioning working on death machines. I wasn't envisioning on hurting people. I was just thinking of like, you know how to get a light saber and everybody's hands.

Speaker 3:          07:47          Okay.

Speaker 2:          07:47          Speaking about lightsabers, we have this cool sounding thing called Gemini, but there's nothing cool about it at all. Where that same online retailer is probably now one of the only people trying to get a $10 million bid from the Department of Defense, a bid that they say is a program, a truly about increasing the lethality of our department. I know you thought your department was rough, right? Uh, and providing the best resources to our men and women in uniform where death is the key performance indicator or the KPI.

Speaker 3:          08:21          All right?

Speaker 2:          08:24          We have a maker of friendly productivity software that is somehow embroiled in this kind of, uh, immigration debate that's shaking our country to its core and dividing dinner tables. Uh, good luck on thanksgiving. Those of you who celebrate that, right? Uh, around the country, we have lead generation CRM software, right? Just keeping track of that contact and see if they want to buy something that's also now working on border issues and I'm finding themselves in huge amounts of debates here in California. That's where I am right now.

Speaker 2:          09:04          Friendly chat APP. How could that be wrong? That's somehow used weaponized to not just, uh, convince people that they should vote one way or another or to polarize, uh, there are political viewpoints, but actually to create physical harm, not just to one individual, but a genocide against an entire group, an ethnic group, uh, identity, right? Um, none of these things where what we as developers and HR people and accounting people, and none of this was on my job description. None of this is what I envisioned for the future. So how exactly did we get here? Well, I will tell you, uh, that it's not out of malice. It is not out of some crazy hell bent, you know, uh, evil comic book character that wants to create this stuff. It's out of good intentions, but these good intentions are not counterbalanced by our own. What could possibly go wrong thinking, right?

Speaker 2:          10:10          So you know, you're going to Costa Rica and you're about to jump on a zip line. Something in your body says, I don't know if this is for me, right? Because one thing that I've learned in the risk business is risk is personal and something that you might say it's super risky might be to your friend. Totally good idea on Saturday morning. But, uh, when that is taken out of the equation, when your agency is taking out of the equation and you're calming, tend to take it out of the equation, good intentions go bad very quickly.

Speaker 2:          10:38          Why are you listening to me? Well, hopefully it's because of that awesome glamour shot of a photo that you saw on the paper outside. Or maybe you got a cold email from when your friends. Thank you. Um, but who am I to tell you about this golden hour of the Internet and who am I to tell you what I think you should or should not be involved in doing, right? Or this is what you came for. Everybody. We're still, you're still with me. Okay, let's go. Just check. Okay. It's, uh, well I'm a hacker and I'm a security researcher and I'm giving you the slides. You can read about all this other stuff, but um, you know, some of you I've had fellowships with in the audience. Thank you. Those are awesome opportunities. Uh, currently I worked with a group called tactical tech and I'm the director of Digital Safety and privacy.

