Speaker 1:          00:03          Yeah.

Speaker 2:          00:10          Thank you for inviting me to talk to Google and a stay and as mentioned by probiotic that I have been working for almost a decade now in this domain of spreading cyber safety of Ns against cyber crimes. I have spoken to say 2 million students in the country now and since 2008 I've been doing it and my experiences that I personally receive 30 to 40 complaints from these young kids every day when it comes to the online threats to children and the age group, like it starts with eight years and it goes up to 2122 school and college students. So I talked to school and college both. The second role which I do is I trained law enforcement, which I've been doing very actively since 2009 and right from top of the country moved to south. I've been traveling to various academies and empowering the law enforcement officers.

Speaker 2:          01:10          First thing was the challenge to make them understand that cyber crime is not a monster. So Eh. And the second was, if you look at our NCRB status takes in India, yes it is increasing. The complaints are increasing many terms to frauds and uh, uh, any abuse on social media specifically to children? I think there's something missing. What is missing, which I started promoting, it's called netiquettes cyber hygiene, digital wellness. And I think it should become a part of the curriculum today. Now why? Because cyberbullying is on a rise. That is another major challenge for every school and college. Even any social media, you pick up a messenger or you pick up a social media platform, posting obscene content, making more off pictures, spreading rumors, writing bad words. It's a very common thing. And the major thing which I see across is that they don't even know what are the cyber laws.

Speaker 2:          02:12          So very famous line, which I always say when I talk to children and it's always carrying with me, that is virtual world is not a game. It's your life. So I, I talk to children about cyber laws for them, creating a fake account is fun for them. Hacking into an account to fund a sixth grader. He stands up and says, I'm a hacker. And I asked him, what do you do? Ballet I have Wifi is when a why my mother doesn't give me Wifi. So I had called my neighbors by five and how do you do it? But I just got an application which is available. I saw video, I learned it and now I can hack by five. So now this is a challenge making them understand that hacking is a crime. Full Stop. There is a simple section in one of the cyber laws information technology act, which I call section 60 c which says that if fraudulently or dishonestly used in somebody's password, unique identity or electronic signature, you are punishable for three years with the final one, lack rupee.

Speaker 2:          03:09          And then I talk to children are very popular. They say that only three years, food and lodging is free. So the message is very clear. Hey listen, hacking is a crime. Same comes when we talk about the incidences of cyberbullying. So just I came in the morning flight and I got a message from a young girl. Somebody created a fake account and sharing and posting my personal content. Now, and this is a cyber crime in my country. So there's a posting obscene content, private content online I and the first line, which is very popular line with every victim who's calling me, don't tell it to my parents will kill me. So this gap, the digital divide. When I talk to parents, I do a lot of parents sessions. Now why? Because only because of this reason. There's a big digital divide. The parent will come and say, I don't know what my tranquil do on iPhone.

Speaker 2:          04:02          He's such a brilliant boy or something like that. But when it comes to you pay the children's, say that we are teaching parents how to use technology, it's good. But are we teaching children netiquettes and cyber hygiene? This is my point and that's how I cover up when I talk to them. Law Enforcement. The biggest challenge here in law enforcement today is that cybercrime is a monster. And when I talked to them, I say it's not a monster, the same crime. But previously they used to come and rob my house or my bank locker. Today they are doing it online. Same. I used to tease a girl. There was FTZ today. They do it online by creating some impersonating account or by posting some bad pictures of words. The only thing which they need to understand today here is that how do you correlate all these service providers and how do you interact with them to protect the law, to punish them as per the information technology act, which says that spreading any obscene content is a crime.

Speaker 2:          05:03          So they have a wonderful section here and it at call section 67 which says that if you publish transplant or even become a reason to publish any obscene content electronically, you're punished for three years with a fine of five lakh rupees people at times and fun. They create messages on messengers, different messengers, chat messengers, and the starts sending obscene content. You are breaking the law. Similarly comes with sexually explicit content section 67 67 eight it says that any sexually explicit content, if you're sharing electronically, you're punishable for five years with a fine of 10 lakhs. Non Billable people don't know these law and a very common problem we should come across with young kids. So I was in a relationship. Okay. I had a breakup. Okay, now this person is blackmailing me with my personal pictures. 16 is becoming a serious problem. It's a psychological problem.

Speaker 2:          06:01          You young children, they tend to share personal images and they think they think I'm sharing it on a messenger. It will be destroyed in three seconds. I'm sorry. Nothing gets destroyed. So how to handle digital footprints is another. The people who don't understand what a digital footprints and how they can follow you for a lifetime. So this is another thing which I interact when I talk to young minds and even professional role. So second days, the challenge of handling such crimes. Today something happened online and you know what kind of cases are coming when it comes to bank froze everyday there will new modus operandi coming in to old one. I'm getting a call. I got a call from a person who is calling from the bank. He says that your bank account will be close because your ad hide is not linked to your bank account and your account will become zero.

Speaker 2:          06:52          Oh don't close my account. Then verify your account. Give me your card details. I gave my card details, we are sending a message to verify whether it is you are not. Please give us that message number. Also, he shared his OTP also and now he comes and file a complaint. 90,000 gone. 10 Rupee Balance and a, we call it a cyber crime. Second, the most, uh, popular, which is happening these days is skimming. So now these hackers, they have got access to those devices. They can break a ATM or they can, uh, plan to small skimmer to the vendor windows machine where your car get duplicate it. Now, if you look at the internationally, everywhere, you don't require a pin or an Otp to swipe a card. It's only in India that you require a pin in and OTP. So now the complaining comes to me and say, is that my cyber cell that I was sleeping in the night and I had a $40,000 transaction on my car from some country in France or us.

Speaker 2:          07:50          The challenge for the law enforcement is that first of all, they cannot go to us and France and investigate. The second the money has been swiped. It's a very popular technique and hackers are doing it in our country. They call it garden. So the Stele card information here and sell it for some peanuts to international, you can call organized criminals who have those groups somewhere where they just pay them peanuts and there they use your card. Same as happening, reverse. So there are foreigners whose cards have been cloned and skimmed in India. This is cybercrime third most popular, which I am seeing across now when I visit so many police stations and cyber sellers, man in the middle attack. So the compromise, our emails, they get into our email settings. We people hardly look at our settings on a daily basis. They create filters and forwarders and they create tweet domains.

Speaker 2:          08:40          So my email id for example, is infrastructure tendon dotcom. The hacker creates infotrack Shit, dawn, dawn.com he just tweaks it from me too and he reads all my meals, copy, paste the trail, take my invoice and send it to my buyer vendor saying that my bank account is frozen duty, GST audit. So please kindly transfer my payment to my back bank London account. And how much when like 25,000 euros gone, this tour exporter, he lost recently one and a half like euros just because of tweaking man in the middle attack. These are the organized crimes which we are seeing and they all started with the email which used to come here, a lucky winner, Coca Cola, $900 million and now it is transformed to this top talking of scams and I'm, I got a call, three girls the last two days have called me. We got to link that somebody is posting some bad pictures on some social media.

Speaker 2:          09:32          I clicked on that link and my account got hacked. Then all my friends in the network received a message that I'm in trouble. Please deposit 701,000 or two piece to my so and so wallet. I will return it to you as soon as possible. All the respected friends were busy in their daily life and work. So it is a matter of click on a smart phone to just go to your wallet and transfer that amount. And later they realized that her account was compromised and the hacker has taken complete control. Fishing, peep, Eh, when I talk to people, they're not able to understand what is fishing today. They click on every mail. One of, recently I got a case from very big celebrity who's Icloud was hacked. There's a smartphone cloud and how very simple. He got a male and was a tweaking in spelling and he, this lady entered her credentials cloud was hacked and all the personal pictures were downloaded from a personal cloud and then starts talking in black Millie.

Speaker 2:          10:33          So these are the most popular, when I say incidences and coming to the solutions, what we do, I try to tell them how to use an APP first. So that is a basic thing. People are not aware. So if I'm using an APP, they have wonderful features inside it, which can help you to recover your account, protect your account, whether it's two step authentication. The basic knowledge is missing. And when you go down in the rural area, everybody has a smart phone. That day I, I met a small vendor, he asked me, I had no cash. So he said, you can give it to me on my wallet. So many who told you to use a wall? It, how do you know where the mobile recharge person? He put Wallet Inside My, in Brooklyn Hindy he said he has inserted this volatile assignment. What is your wallet ID and Password Bully?

Speaker 2:          11:23          What is this? What is this? He doesn't even knows that a wallet on a smartphone has an identity and a password, which he doesn't know. So the challenge today we have is a handling this digital revolution. So I always, whenever I talk, I always not only talk about digital India, but I always talk about safer digital India. And that is the word I tried to key is whether it's talking to children or talking to adults and professionals with children. Yes. Uh, we're doing a lot of work on online prediction and why? Because 16 stalking and then these, uh, societal games coming up and suddenly trying to envelop the kids. And you know what, kids have curiosity. They don't want to commit suicide. I was talking to kids, I recently, last couple of weeks, I've spoken to 25,000 kids in the country. I was in good drought. I was in Djenne, I was in north Delhi and all schools, they wanted to see what is it exactly, how does one person commits suicide?

