Speaker 1:          00:05          Please join me in what calling Victoria Tucker.

Speaker 2:          00:12          Thank you very much and thank you so much for everyone for coming. Thanks for inviting me. It's a real pleasure to be here. Um, I'm Victoria Tech. I, I'm an editor at wired UK and I've also just written this book, digital etiquette, which is out this week. Uh, before I go any further, I just wanted to make a quick confession, which is that this is the very first talk I've given about this book. And in fact it's pretty much the first dog I've ever given about anything. So you guys are my Guinea pigs and if my knees look like they're shaking, it's probably because they are. Um, but anyway, yeah. Oh, also it is the first PowerPoint presentation I've made since like high school. Um, so I haven't used any clip art, but I, I might have got a little bit carried away with the animations.

Speaker 2:          01:03          It touch a keynote. Do you know, it didn't even exist when I was at high school, I think. Anyway. Um, so what is digital etiquette? Um, well the idea behind this book was basically a fun modern take on the traditional etiquette guide for digital communications. And I think a lot of people when they think about this term etiquette, uh, it sounds very old fashioned and kind of stuffy, but actually I think it's super importance. It is the social glue that makes it possible to communicate with each other without accidentally offending someone. And we all kind of do it where the or not. And I think it's especially important online and in digital communications for several reasons. Firstly, because most digital communications are text based, that means you're very limited in terms of the tools that you have to get your point across. You've probably all had that situation where you meet someone only over email and you kind of get the impression that they're very terse and very brusque and kind of rude because their emails are always really short. But then you meet them in person and that absolutely lovely and really nice. So I think for that reason digital communications can be full of a particular pitfalls when it comes to you at a cat. Also that obviously rarely, truly private. Even if you think you're just talking to one person, a, your conversation could easily be shared more widely and they leave a digital trail. So that angry email you send it three in the morning is going to be in someone else's inbox forever. Once you've sent it.

Speaker 3:          02:38          Okay.

Speaker 2:          02:39          Say this is a saying you've probably heard on the Internet, no one knows you're a dog.

Speaker 3:          02:43          Yeah.

Speaker 2:          02:44          But that's no excuse for poor manners. Now the book covers for different chapters, each of which is dedicated to a different sphere of modern life. So there's uh, the workplace romance, which is obviously a lot of online dating, friendship and community, which is social media. It would be impossible for me to attempt to cover all of those here today. Um, and given that this is for most of you, your place of work, I thought we'd focus on the workplace and specifically on how to do email. Um, now I do realize the absolute conceit of me coming into Google and trying to tell you how to do email. But the last I checked, you don't have a chief ethercat officer. So you know, maybe I can, uh, bring up one or two points that are of use. Um, and actually just to see what I'm dealing with. Let's start with a quick question. Um, let's talk about email sign offs. I want you to think about your default email sign off. The one you use 90% of the time you type it without even thinking who uses best wishes. So whenever that anyone use best or all the best kind of variations on a theme, quite a few. Great. Who uses anything else?

