Speaker 1:          02:37          Okay.

Speaker 2:          02:51          That was so cool. Thank you, Theresa. Thanks for having me here. Thank you. I just totally nerded out. So, so welcome.

Speaker 3:          03:00          Thank you for coming. Thank you. It's lovely to be here. Um, do you want to talk about what you just played?

Speaker 4:          03:05          Oh yeah, sure. So the first piece I played was very old. It was by a German composer named Bach. He had of many, many children, so he was very prolific in child making and music writing. So that was probably one of his most well known a cello pieces. You guys probably have heard it somewhere before, right? Like Nike commercials and basically anything with a cello, it's like synonymous. Oh, what's that? That's the cello piece. Um, and then after that I was actually the main theme from the new wonder woman series. Um, and I did do the original with Hans Zimmer's, so thank you. So, uh, and it's very exciting that very soon we're going to start working on wonder woman to some music for that. So I'm very excited about that. And that was it. Now I'm sitting here.

Speaker 3:          03:53          Thank you. Well, I am a huge fan of Dina. Um, I actually met her a couple of years ago. I gave her my business card because I was like, I need to meet you. Like, it was a really creepy and stalkerish way. Um, so I was like, Hey, let me interview. Um, so, uh, so thank you for coming. I actually seen her twice in concert. [inaudible] she's amazing. So I wanted to start with really background questions. Like when did you start playing the cello? What made you choose that particular instrument? Was it Kinda like your choice? What's it like forced upon you by your parents? Like what, what was that?

Speaker 4:          04:24          Yes, so, uh, I was born in Shanghai, China, so I was made in China. Um, and my first instrument, like many, many Chinese children was piano. Uh, so I started when I was three years old and then later I moved to the u s my parents are actually both classical musicians, so there are classical music teachers who live in San Diego and they, so they popped me out and then they came to us because they were able to, uh, have an opportunity to go to school in the u s for music at a scholarship. And that was very, very rare. And like post communist China like right after. So they took the opportunity and my grandparents, my mom's parents actually raised me, uh, for a few years while they were here studying. I got really, really large. I weighed when I came to America. I'm not kidding you.

Speaker 4:          05:05          I was like 82 pounds at five years old. That is not normal. Right. So I was like a little round ball. Oh, I play the piano and then I moved here. Uh, and my parents thought that I should play one of the instruments that they knew how to play. Cause obviously that would save money on music lessons. So I started on the violin. I was really bad. I played twinkle, twinkle little star for, I'm again, I'm not exaggerating like six months, like I couldn't, I could not get past twinkle, twinkle little star, like, well, she's not talented. Right. So, um, then I switched to the cello and for some reason, even though it's like kind of similar, it just came a lot more naturally. Um, and, and I seem to like progress pretty quickly. So my dad decided, okay, this is what she's going to play.

Speaker 4:          05:44          And from there on out, I was, I have to say forced to be honest, I was forced to practice eight hours a day every day, which I'm grateful for now. Uh, I didn't have much of a childhood, I have to admit. And I was very, hence probably my love for metal now. It was very like, oh, I hate my life. And my parents. I mean it was, it was really extreme and I've talked about it before, so hopefully they'll forgive me for like, you know, spilling the, the family secrets. But they would like lock me in my room sometimes to practice and they're like, let me out once in a while ago. The bathroom, maybe eat something if I was lucky. Um, but I have to say that type of like very regimented, strict training. Um, really I have to say it did pay off in the end cause like if you don't practice for that many hours every day and we know whether it's cello or swimming or basketball, you don't build that type of muscle memory. So I was like more comfortable playing the cello than really doing anything else. Um, so yeah, to answer your question, I was forced into the family trade, but I'm happy to be here now.

Speaker 3:          06:43          I mean, yeah, that sounds that your, your parents sound both terrifying, but also thank you to your parents for it. Yeah, yeah, yeah. No

Speaker 4:          06:49          slightly terrifying. But, but also at the same time, I mean, I don't, I think it actually takes a lot of, uh, a courage and a lot of determination and sacrifice on their part. You know, cause I, when I have babies, I don't have kids yet, but I'm like, I don't know if I can spend that many hours. Like, you know, like yelling at my kids practice

Speaker 3:          07:05          dedication. Yeah. Cool. Um, so, uh, you know, whether it was growing up or now, you know, uh, what do you think where, you know, other than your parents, uh, music influences that, that kind of affected you or that inspire you to like keep playing and, and, uh, you know, whether it's this instrument or, or other type of music. Cause you mentioned metal as well.

Speaker 4:          07:26          Yeah, definitely. So, um, again, growing up because my parents were ultra conservative and just very, very, you know, classical music is good. Anything else? It's a music of the devil. You can't listen to it. So I actually, and of course, what happens when you don't allow people to do something, they get very curious, especially me because I'm really a contrarion in many ways where I'm like, Oh yeah, I'm going to. Um, so, so the very first exposure that I had to like, I guess heavier music or the underground alternative was a Marilyn Manson. And how did this come about? So I was in awe. I was in seventh grade, I suppose, a little bit later in life. I mean, that's not that late in life, but seventh grade. Um, and I, I remember I had this crush on a kid named Luke. He was like a combination of a goth and a nerd.

Speaker 4:          08:11          He was like a Nerdy Goth, right? You've got these really thick coke bottle glasses with like thick, black rooms. Uh, but he also had like long hair, like down to the shoulders and like black lipstick and my, Oh my God, this is kitty. So weird. I love it. And, and, um, the neighborhood we grew up in was not very alternative or like, you know, so everybody was pretty much the same. Very preppy. Uh, like the weird one. You yes. I'm like, he's weird. I'm gonna follow him around at lunch, like, like a little looser, like a stalker. Right. And then, so one day he's like, Hey Tina, have you heard of Marilyn Manson? I'm like, who? She know, I don't know what that is. So he let me borrow his antichrist superstar CD, because back in those days we listened to cds. Good. So, yeah. And I had a boombox in my room that we got at a garage sale from the next door neighbor, so nearby garage sale.

Speaker 4:          08:56          Um, and there's a CD player at the top and I remember I would turn the volume all the way down to like a little bit pat like below one. So like 0.9 volume and put my ear up against the boombox is my parents. I mean I wouldn't be here today, I'd be dead if they heard that. So. And I'd be like, I'm so cool. So that actually had a huge impact on me because I, I mean imagine coming from classical music to, I guess that's like industrial, it's not really metal but like heavy industrial, dark music. And I was just so off music and I was, I was very fascinated by it. I started like trying to like, oh I found a clip. Sorry, I'm going to go way off tangent right now. Stop me. Okay. So all these memories of pouring back. So I found this clip on earrings, like just like the clip, I'm part, there was no actual earring, you know, like the plastic part, that kind of the metal plastic, you know what I'm talking about?

Speaker 4:          09:44          Yeah. I'm like, oh that would make a really cool nose ring. Cause I want it to be cool, but I didn't have any piercings. So I would go to school, I would run into the bathroom and clip this like plastic clip on everything like between like, like a bowl, you know, on my nose. I'm so cool. So anyway, so that Marilyn Manson and then a few years later in high school, my best friend, her name is also Tina and she, uh, she had a guns and roses tape. Oh my gosh, a cassette tape appetite for destruction. So I heard that. Um, and then the third musical influence that I heard, but I only heard the first two tracks of their album was a daft punk CD that I got at yet another garage sale. But it was scratched up. So only the first, it wasn't even first teacher at first track and a half worked. And so I would like listen to it for like a track and a half and then it would like skip and then stop working. I rewind it and just keep listening to it. And that was my musical influence that in classical music.

Speaker 3:          10:37          So go and that actually makes sense. It, if you follow Tina's career, it makes sense because she's really all over the place in a good way. You know, she's not the typical cellist and you know that you would go see, um, at the Disney concert hall, you know, like she does all of this school stuff. Like I, one of the concerts that I saw her at, um, she ended up playing Super Mario brothers, uh, the theme and then all of a sudden went into like a heavy metal version of it. And I freaked out because I was like, this is like, it's like she's dedicating this to me. Like I, it was, it was so big for you, just for you. That's right. Uh, and it was, and it was really cool. So, you know, like, uh, it, it's, it's, you have these, she has albums out, right? Like there's this one called game on where you play a video game music. So, how did that come about and, and, and how do you as a musician, you know, cause you, do you, do you do your own compositions and arrangements for when you're doing a cover and like, you know, putting your own spin on it, like how does that blend of metal and classical come about?

