Speaker 1:          00:01          Please help me welcome to the stage Tara Mohr. Yeah.

Speaker 2:          00:10          Thank you for having me. Everybody can hear me. Okay, great. Oh, I'm so happy to be here. Uh, this is the neck of the woods where I grew up actually. So nice to be back down on the peninsula and I'm really thrilled to be talking with all of you about women playing big, how we end up playing small and how we can play bigger. And I want to begin by sharing with you why I started doing this work and how I came to be thinking about these topics. About 10 years ago, I was starting to make a big transition in my own career. I had identified that I didn't really love the work I was doing and I wanted to be doing work that dealt with people's inner lives and helping them create the lives and careers they really want it. And I didn't know exactly what that would look like, but I thought coaching would have something to do with it.

Speaker 2:          01:02          And so I had gotten trained as a coach and while I was still working full time in another job during the evenings and the weekends, I was squeezing in this exploration of this new area and starting to coach mostly friends of friends and colleagues of colleagues who had heard. I was exploring coaching and starting a little bit about starting a little coaching practice. And most of the women that came to that practice, I had the exact same response to, I would sit across from these women in a coaching session and get to hear about their dreams, what they wanted for their careers, what they saw that was happening in their company or their organization that they had a critique of or a better vision for what they thought their industry was missing. I got to hear all of these amazing reflections of their insights and their brilliance.

Speaker 2:          02:04          And I just became so inspired by every single one of them, by the ideas they had, by their thoughtfulness, by how ethical, uh, and conscientious they were in their approach to their work. And so I just wanted to see them leading and having more influence. And power in our world and yet over and over and over again, I heard the same things from them. I'm not ready yet to take that next step. I probably need more training first. I need a few more years experience. Don't I need another degree? If that was a good idea, someone would have thought of it already. Let me think about that more and do more research on it before I do anything about it. And I started to feel really pained by this because as we all know, right? We look in the news headlines or we see the decisions that are being made by people in leadership and we know that seems like our world deserves better.

Speaker 2:          03:07          And here I was sitting across from these women, I thought this is the better that we deserve. And yet it's somehow not that brilliant isn't really making it to the seats of power and the places of influence where it deserves to be. And so that phenomenon, that gap between potential and how people saw themselves, I needed a shorthand way to label and playing small. It seemed like a good term for it. And about the same time I had started blogging about personal growth topics and professional development topics and a few years into blogging my readership had grown and I got very curious to learn more about who is reading and why and so I sent out a survey to my readers and in the survey one of the questions was, what's the biggest challenge in your life? Right? Probably many of you know from your work. That's a great market research question.

Speaker 2:          04:01          You want to know what are people feeling pained by and challenged by and knowing that most of my readers were women. I had this list of options on the multiple choice survey of things I thought might be the biggest challenge in their life. So of course I put work family balance on there because that's what everybody talks about is huge challenge and women's lives. I put a health issues up there and financial issues, relationship challenges, I'm not sure what I want. Right? A whole host of things from different domains of life. And then I looked at that list and I thought it was actually nothing on that list that reflects what I'm hearing from women in my coaching practice. And so kind of on a whim I added, I'm playing small as a possible challenge that people could choose. And when the responses came back that was what the most women said was the biggest challenge in their life. I'm playing small and that was so striking to me that we, so many of us are walking around with some sense that we're playing small and we feel challenged by it. Meaning we must somehow be stuck there. We don't know how to fix that or change it.

Speaker 2:          05:17          And so that became the focus of my work, trying to understand why are we playing small and then most importantly, what really makes a difference, what makes a difference. So we stopped thing, I'm not ready yet. We stopped saying I need more qualifications. We start sharing more of ourselves, more bravely. And I found through my coaching practice that there really were some tools and some new pieces of knowledge and some every day moment to moment practices we could do that produced really big change for people quite consistently, whether they were in a junior or senior level of their career, whether they were working in business or the social sector, whether they were entrepreneurs or inside a large organization. The kind of fundamentals have changed that needed to happen where the same and those fundamentals became the basis for the work that I now do for leadership trainings for the buck.

Speaker 2:          06:16          And we're going to talk about some of the key pieces of that today. Before we jump into that, there's one important thing I want to address because we are going to be talking today about the inner barriers for women around our playing bigger. And it can be easy for that to be misconstrued as then that disparity that we see in leadership, the challenges that women face are inside us all our own fault, right? And I certainly don't want to convey that in any way. So first I want to give voice to, of course there are huge external barriers, many of which I'm sure through the women at Google work you're learning about here, all kinds of bias and implicit and explicit discrimination, the pay gap, so on and so on. Right? Um, and there are these inner issues and the inner barriers that we face, the kind of playing small I'm talking about, I don't see as disconnected from those external barriers that at all.

