Speaker 1:          00:05          Please join me in welcoming Xenia Rubinos to the stage

Speaker 2:          00:24          French be stroll at Dominican chef Italian restaurant. Bodie question Chinese. Take Gal. Mexican chef. I'm ever come on to the end, the bath or how long has it been a hippy brown walks your dog. Brown reason member complaints of his mom. Brown things. Your House Berlin takes the trash. Brenton Eve and wipes you daddy brown cells. The buttons back on your shirt. Brown picks the fruit from painting into dirt. Brown jobs. You Bugs Brown dives. It texts you. Brown brings in the gin a bike when you're relaxing.

Speaker 3:          00:55          Okay,

Speaker 2:          00:57          I want it one it all now. Wow. Oh, now we build the ghettos and when we tear them now brown lays brick expound, builds your wall. Brown tears them down and built them again. Brown breaks his back. Brown taste the facts from gets good curves. His papers are back. Brown sits down and Brown, those frown browns up in a hospital gown brown has now found, gets shocked from, died what he deserve because he fought

Speaker 3:          01:24          [inaudible].

Speaker 2:          01:26          I wanted one it all now. Oh well now we build the boat. It take you to town. We build the good news and we tear them down. French beans store with the mannequin. Chef Italian chef. It's the Chinese take down Mexican. Shut the fridge piece stove with the Dominican. Shut down your mister [inaudible]. It's a Chinese takeout Mexican shop. A new, Oh, I'm never come to that party crossing batch at that in the other day. It's a party crossing Newark. Cut the batch at that in the bay. It's a party. Crossman knew chuck that in the day. It's a party crossing mood. Cut Back. Chat that in though. I know. Give them faith. Hello? Hello. Ooh. Okay.

Speaker 2:          02:55          I want to all of them. Oh No. Oh No. It showed that tree fall down when a tree fall down on it. Make a sound. No, no where though and then by the tree. Fogo down when a tree don't make the bridge be stolen in the kitchen. It's a numerous term. What does the Bodhi quest ship? It's a Chinese take down mix again, shut the new America, but to time though, it's a French piece of what the Dominican shut the town. You person about this? About equal? It's a Chinese takeout Mexican. New on the brick. A bunch of back in the bag party in the Merrick. Kevin? No, no. It's a party in the mirror. Did, did ZIP party cross batch at that in the bay?

Speaker 4:          04:04          MMM.

Speaker 5:          04:06          Does anybody know what [inaudible] is?

Speaker 6:          04:10          Uh Huh.

Speaker 5:          04:13          Yeah. Why not? What's my shot though?

Speaker 6:          04:15          Uh, if we can align.

Speaker 5:          04:21          Yeah, but you got the, he said but shot. Does it look like a Latin dance? What'd you say is more essential? More central. It could be, yeah. It's a dance style is from the Dominican Republic. Um, but it's also a music. Um, took it out. Just put in by chapter in your Google search engine and find out what it is. Ask Google. Um, yeah, but shot, that's what I'm seeing. But chatter in the back, people are like, what are you saying? That's, that's what that song is it.

Speaker 6:          04:49          Hmm.

Speaker 2:          04:52          I haven't plucked man browses last one of these day. He gets going to let my mustache crow bag. Don't know where I'm going. Only way and know the cliche is time of feeling on my skin. I was worried that my papa change his mother gave him the day he left. Never saw hurricane, some Tamma clown and a laugh. Laugh, laugh, laugh, laugh.

Speaker 5:          05:23          Yeah.

Speaker 2:          05:23          Does, yeah. Does. Yeah, we get that loose.

Speaker 7:          05:38          Hey. Yeah.

Speaker 2:          05:40          No money. Got No money on no jargon. Okay. No country. Who Am, I know what you are, but what? Whoa. Some town. Then I laugh. Now I'm laughing. Clowns. So Tim, the Queen Stan. Stan does feel fat. Weight. You have a fight when Kevin, you'll still ooh baby. Can you tell me how far? Oh, oops. Oh wait. Oh, Ooh, baby. We'll see. Oh,

Speaker 8:          07:01          who's that

Speaker 2:          07:13          help laugh. Clown laughing. So Tom Murphy, clean state, then the scene. Now I'm saying, dude, stay in joke that I tell now. I'm too brave. Feel fairly high dose. Yeah. Fail fast. We lose them with too, man. Yo Ai though. Dune born in darkness. Which juice? You're brave, Phil.

Speaker 8:          08:01          You're fine.

Speaker 2:          08:08          We kept the news. So with Jamal, Justin, can you

Speaker 7:          08:25          Ooh,

Speaker 9:          08:30          Ooh, Ooh, Ooh, Ooh, Ooh, Ooh, Ooh, Ooh, Ooh, Ooh.

Speaker 4:          09:06          [inaudible]. That one was called lockdown.

Speaker 5:          09:16          Um, and this last one.

Speaker 4:          09:18          Okay.

Speaker 5:          09:18          Um, it's called just like I, you guys okay out there and gals taking the temperature. You guys all right? Okay.

Speaker 3:          09:45          Yeah.

Speaker 8:          09:48          Ooh, Ooh, Ooh, Ooh, Ooh, Ooh, Ooh.

Speaker 2:          10:00          Every sing. Just what you sell.

Speaker 3:          10:07          Yeah.

Speaker 2:          10:07          Freezing. Google the stuff. You'll see me bracing math every single day. Live places you'll cook.

Speaker 8:          10:29          Oh, just chill.

Speaker 2:          10:41          You.

Speaker 8:          10:43          Ooh. Ooh, Ooh, Ooh, Ooh, Ooh, Ooh, Ooh, Ooh, Ooh.

Speaker 2:          10:55          And freezing. Go home. Go to work APP. Fill every single go. Well die. I prayed to God to lift me. Ah.

Speaker 8:          11:11          Oh. Just to chill. I'm just knocked my father. I'm just like, Yo, your brother and your mother.

Speaker 2:          11:23          Oh, what does safety. Oh, it does say though. It does say t I smile. I burden you with the same lips. Oh, it's the same lip. So it does seem lips. I kiss. I'm not too with the same idea. The same eyes old with the same as you. I've watched you with the same. Hey. Oh the same. Has All witness seen hand? They have fee. I stay out. Ooh.

Speaker 8:          11:56          Uh Huh.

Speaker 10:         12:03          Oh,

Speaker 8:          12:11          oh. Just like that.

Speaker 4:          12:19          Yeah.

Speaker 11:         12:34          That was amazing. Thank you. Oh my gosh. That was so great amount of applause

Speaker 4:          12:38          first that, yeah. Thank you. So I had, I had this like

Speaker 12:         12:45          very distinct way. It was going to an order, I was going to ask you a question, but I have to start with something different. Okay. Because you said something while you were up here and, um, I think it was really profound and I don't know that every performer when they get on stage gets that overtaken by their music. And I wanted to ask you about that because you, you saying that, um, second laugh, clown laugh, clap, and he said, I lose myself in that sometimes or something to that effect. So when you're up on stage like this in your performing and you, and that feeling overtakes you, what's going through your mind? How do you feel about your music in those moments?

Speaker 11:         13:24          Um, I'm not really thinking on a, you know, you can kind of like a rational level and that's really the problem. Most of the most, we call them, we're not a problem. It's a good time to be a problem. Um, yeah, I'm, I'm in, I'm in like a dream state when it's, when I'm at my best, I think to be connected to, you know, the performance and, um, and I'm really grateful anytime that I get to share my music and perform it and for that experience of, you know, receiving energy from people that I'm performing for and also giving that energy out. So when I'm, when I'm in that cycle and that circle, um, I, I spin out sometimes and I'm kind of in dream state, which can be a problem if, if like I let my emotions kind of take over, right? If I let my adrenaline take over, I can do things that I could hurt myself or like jump on people or, you know, do all kinds of things that I'm known to do.

Speaker 11:         14:30          But then I don't remember after, you know, I'm, I'm not like really present in that rational sense in that moment. And then sometimes I'll see a video and I'll be like, I was dancing like that. Oh my gosh, I don't even know how I can do that. I'll be like, why do my knees hurt? And I'll look at the video and I'll see that I was doing like these dead drops, like doing like pow, like doing all these crazy things. I'm like, I don't even remember doing that thing. I didn't split my pants. But that's, it happens. Yeah. And you usually play with the band, right? Yes. Uh, currently my set up is a four piece band, so, um, I am free to, uh, sing mostly and um, I play a little organs in this current setup. Um, but it's myself, my drummer, Marco Bocelli and then a bass player and a guitar, keyboards. If things get really out of control, they can, they usually are. I let you go there on the back line. They're holding it down. Yeah. They're usually just like, what is she doing today? That's amazing how we think we all need to see you at the band. Oh yeah, yeah, yeah. Come. Yeah, come out. Yeah. [inaudible] great. So this is a really exciting time for you. You're on your second

Speaker 12:         15:38          can album. Your first record was released in 2013 magic tricks. Yeah. Yes. Um, and then this album, which I think is so beautiful, they're both so beautiful and they're sonically so different. Um, what, what is your process when you write music? What's your inspiration?

Speaker 11:         15:57          Oh, thank you. Um, well I usually start by improvising, so I usually start a writing session first with something that I know, just whether it's a song that I like or a song of mine or something that I know to kind of just warm up. And then, uh, I usually start improvising, uh, other with just my voice or on an instrument, a physical instrument, like I'm a keyboard or on a, on the base. In this case, I wrote a lot of the album on, on base, which I don't know how to play really. I just, I bought a, I went and I bought a bass because I was demoing the song and I needed a bass player to play this lines and nobody would show up that day. So like, well, I guess I'm just going to buy one. I'll return it. I guess I shouldn't say that, but I'll return it later when I'm done.

Speaker 11:         16:43          But I was having so much fun, they decided to keep the base. Um, and so I ended up writing a lot of this record on that. But usually it's just improvising night and I tried to, um, just let, let myself go for a little bit and then I start to hear some bit, whether it's a rhythm that I'm playing or I'm singing were a, or it's a melody that's happening and I isolate this, a small bit of that, and then I repeat it. So I repeat it a to find out more about it through repetition. And, uh, usually when I find out something about it, then something else happens that changes. And that's usually how an idea starts for me. So it builds organically yeah. Through, yeah, through improvisation and right. And listening.

Speaker 12:         17:30          Do you think the fact, because the first record was very synth in Oregon sounding, um, and the black Terry cat is, is there's something smoother and more jazzy, more melodic about it. Do you think any of that had to do with the base? It's, if you just pulling out that base and beginning to write the record

Speaker 11:         17:50          with it. Definitely, you know, the writing, a lot of the songs on bass, you know, influenced the sound of the album is very based centric. A lot of the melodies came from, from playing on that instrument rhythmic. Um, the first record was kind of a piano trio power trio record. Okay. So it was very minimal. It was bass, drums and keyboards mostly. Um, there's not much else in the sound Palette. And in this record I expanded a little bit and uh, I, I did more vocal stacks like, and my boy in the vocal arrangements, I have like these kind of fat vocal stacks and layering that I hadn't done as much before. I used to loop my voice and use my voice. That's kind of like horns and different textures was, which I'm still doing in this record. But I expanded the sound Palette a little bit more with more since some guitar.

Speaker 11:         18:38          Um, but I think ultimately what changed on this album for me was also the music I was listening to at the time. Um, so I was really into, I was discovering a lot of hip hop music that I didn't, didn't know about. Um, some groups like slum village and which was, yeah, I represented some village where they were they good clients. I was a music attorney before I joined Youtube in 2011 and in 1997, I think [inaudible] 96 I represented this artist named some village and I didn't know that anybody knew slum village. That was, yeah, that was some of j Dilla is a master masterful work at the beginning. The producer who was slum village, um, I think Jay Dilla produced those tracks and that a lot of those artist with donating, his name is Bryce was his last name. Oh Gosh. I don't remember. You taught me.

Speaker 11:         19:34          You call me on that one. Really hilarious. Okay. Oh, they're incredible. Yeah. Um, black moon. Um, and, and j Dilla. I mean, uh, discovering sampling, you know, for the kind of for the first time. I mean, I knew what sampling was, but it was just kind of, I hadn't really been digging into that music. Um, I kind of was coming out of a period where I was discovering punk for the first time. Um, and I had been listening to jazz for a while, but I had kind of been suppressing some of those, uh, interests in my music or I'm not suppressing them. I was just on another tip and this time around I was kind of digging into this music, going back and listening to Busta rhymes, who I listened to you as a child as well. Um, listening to Kendrick Lamars album, pimp a butterfly was also really influential for me at the time that I was finishing this album. That album came out and I was thinking about, uh, lyricists, uh, rappers and people who use their voice to tell stories and listening to, you know, Kendrick's album and how he sounds like 10 different people on one album and thinking about different ways to use your voice. So all of those things, um, influenced me on this album. I wanted it to be really beat, driven, really soul fun and funky and also kind of on

Speaker 12:         20:47          the vocal performances. Right, right. Oh, what do you do with your EFL courses? Incredible. Thanks. So pitch, work, audit it. Right. I pulled a quote, um, that pitchfork referred to your music as, as adept at punk confrontation as are unbeaten run ons, which was very interesting to have a Pumpkin RV and it's the same sentence but um, and then from, you know, there's also outside of the, the sound of the music, there's really deep messages in, in the work on this album and the last one too, but I wanted to focus on this one because you, you perform Mexican chef. What are you trying to convey?

Speaker 11:         21:27          Well, that song Mexican chef just started out as kind of an observation. I was walking around running errands and my neighborhood in Brooklyn and there were kitchens that were signing up for the night and they had the back door open and you could see the kitchen staff like, you know, cleaning up, setting things up, prepping. And they were blasting Bachata and fun shit. US and Salsa and um, today and the Google cafeteria, actually, they were listening to south side, like on blast. And I was like, what's up? Who's playing this, all this old school salsa. And they were like, yeah, we are. What's up? Um, so that was cool. But so all of the kitchen staff was, was listening to this music. And then in the front of the restaurant, the wait staff was mostly white. And uh, the, the kitchen staff was mostly Latino and the, the in the front of the restaurant was completely different sound palette, completely different kind of music playing.

Speaker 11:         22:15          And I just thought that was so funny. So I started kind of improvising on these, these words. I thought it was writing a short story or like a funny rhyme to myself. I didn't think anything of it. And when I got home I just, I wrote it all down and I thought it was just kind of making myself laugh. It was a joke, you know? Yeah. But then it ended up becoming that song Mexican chef. Um, so, right. People are responding to have responded to it a lot in terms of saying that it's very political and it's very social, which, you know, I guess, I guess it is very social. Um, but I didn't intend for that. I didn't set out to write a song like that. I was kind of just having fun and, and observing things. But, um, my mom used to say, when I was a kid, I always remember her saying this one thing, um, that, that, uh, you know, the hands of Brown women welcome you into the world and clean you and you're an infant and welcome you in the hospital and they're the same ones that, that, uh, kind of take you out of this world or not take you out, uh, take care of you when you're on your way out.

Speaker 11:         23:13          Right? They're the same ones who take care of you when you're on your way out, you know, in nursing homes and stuff. My mom worked in a nursing home. She's at, she's a registered nurse. When she first, I would've heard the first big jobs in this country. Um, so yeah, she's talked about the Labor of the Brown people. So that's kind of what I'm referring to in the song is this kind of somewhat invisible workforce that, you know, makes our cities function, especially in a city like New York. But we're all of these, you know, big, sure. Metropolitan cities where we have all of these, uh, incredible services. Uh, you can have your laundry, you could have your clean underwear delivered to your doorstep if you want to. You know, it's absurd, but it, you know, it's, that's the luxuries that we live, you know, and these cities and the, a lot of the times the people who actually make those services function are people of color. Um, so it's kind of a shout out to, to that workforce.

Speaker 12:         24:08          That's great. I've had the experience, I've been, I've been in the nursing home. Mm hmm. You're referring to. And I've had the experience of birthing my own children and had exactly the same experience and both were beautiful. Um, so, so when you think about your, your, your process and your music and the meaning, you know, there's, I think that as an artist, um, you have your own perception of your music and then you have all these external accolades and critiques of your music and w are they the same for you? Do you feel about your music the way that you read people writing about it in the way you, you hear or see people responding to you?

Speaker 11:         24:54          Well, it's like when you look in the mirror, the eyes that you see yourself with are totally different than the eyes that others see you with. You know, the lover sees you or a stranger sees you, you know, so no, it's not the same. You know, I'm, uh, sometimes, you know, sometimes there synergies. Sometimes when I'm performing, I might be, I might, that day I might've been working on something and channeling something where I might've been listening to a song like Eric have I do song or something before I come on stage. And then after the show, someone will be like, Oh, you remind me of Eric about do and I'll be like, whoa, that's weird. And I'm like, channel, you know, like, just because in that day I think that I was maybe a channeling that or, or projecting that and through our transfer of energy, like somebody received that. So I think that, you know, that kind of stuff happens sometimes where someone will perceive something that it's a new thought for me that I'm working on. Yeah. And you know, and that way we'll agree, but a lot of times I'm surprised, you know, and it, and it, it's fun. It's fun to see how people perceive your work sometimes more than others, you know? But

Speaker 12:         26:00          how do you want the music to make people feel?

Speaker 4:          26:03          Yeah.

Speaker 11:         26:03          Um, well I would like people to feel joy and to,

Speaker 4:          26:12          okay.

