Speaker 1:          00:03          Okay.

Speaker 2:          00:05          Here we are Super Training Gym, Mark Smelly Bell and we are going to take a little tour showing them around the place, show them around the gym. Thanks for having us. This is one of my favorite gems. I am excited to look at all the toys that you have here. Also, first off, what on earth are these things? Yeah. This guy right here is called the triad. Everything we have in the gym is a unique, everything we have in the gym is a little different. Uh, we like to use thick fat handles on stuff to increase. Our grip is a power lifting gym and we need to have a good strong grip. So this guy here has got different grips on it. You can do overhead work with it. You can even just do a farmer's walk with it, just walk with it and it's going to really test your grip a lot.

Speaker 2:          00:48          The bringing up here, you kind of overhead press it was kind of Nice about it is with the weight distribution being back in here, it's kind of a little bit like a kettle bell. It's pushing the elbow inward a little bit. And as you press it up, you've got to kind of press it up the same way you would press a kettle bell, the waves just to distribute it a little differently. So this gives you that much variance. Everything we have and here's just a little bit different and yeah, of course, probably not going to see this and her local curves, gym dumbbells up to one 50. And what some add this. This is also something I haven't really seen before. And yet you have a few of these around the gym. What is the purpose of this? Uh, just to, uh, create kind of an unstable surface.

Speaker 2:          01:29          Uh, whenever you have some instability it's going to fire some different muscles. And so we, uh, use stuff like this, we also use a bamboo bar where we'll hook some bands around the bark and kind of show you that too, but it will create some instability and it's making all the little muscles fire. And, uh, if we continue our tour here, you have the old school hammer strength and use that for some of the bodybuilding, right? It's of course, I remember going to a, what was the name of the gym? I think it was strong island. Jim with Kenny licenser when back in the day he had hammer strength machines everywhere. All purple. That's a long story. It was great. Yeah. Why? Yeah. Uh, of course you have slingshots, you have a lot of slingshots slingshots and he shares. Can you show how that fits on the human body? I can if I have one large enough for myself here. Oh yeah. This one will work. So sling shot my product that I invented years ago. It's got two patents on it. It's a supportive upper body devices. Very simple. You just slide it up over your arms, feels like, does it fit your arms like Garrett, but mine.

Speaker 2:          02:35          Slide it up over the arms and then once you're in there, you're ready for some pushups. Bench press dips. So the slingshot actually kind of works as what I like to call double muscle. And what I mean by that is, as the product begins to stretch and lengthen, so are your muscles, your muscles are stretching and laughing as you're bringing the weights down. When you're in the east centric portion, the lift, as you move on to the concentric portion of the lift, you're getting some of the elastic properties of the slingshot is helping guide your muscles back into kind of a contracted position as you head back towards the top, helps take pressure off your shoulders, how take pressure off your elbows allows you to handle more weight for more reps and sets in your workout. And what are just as context, what are some of your, what are your best competition lifts in powerlifting?

Speaker 2:          03:24          So, uh, years ago I competed in, in um, geared powerlifting wearing, you know, squat suits and stuff like that and a bench shirts. I did 854 pound bench press, 380 squat and a 766 pound deadlift. And here at the gym, obviously you have everything you would need for bench press, everything you need for deadlifts, everything you need for squat. Uh, the training split I guess is very similar to a different west side. Who says some of it, some of it is a little bit west, west side ish in the fact that we like to change things up quite a bit here. Um, but we also follow a little bit of a periodization principle as well. We're, we'll just simply use a little bit more weight from one week to the next. And uh, but you have one primary, uh, what, what is, what is your, what is your, your current schedule look like on a weekly basis in terms of primary lift and on a weekly basis, we have Tuesday, Thursday, Saturday are kind of the main training days, Sundays, like an assistance day, basically getting in whatever it is that you, uh, may have missed during the week.

Speaker 2:          04:30          Tuesday is dead lifting and then any exercise that will help bring up the deadlift. It could be an ab movement, it could be a movement for the glutes, it could be movements for the hamstrings. Whatever you feel is going to bring up your deadlift, even grip work. Thursday is all bench pressing. And then it's going to be the main movement. It's going to be some form of a bench press. And then all the movements after that are all things that are going to help improve the bench press. So that could, that could be a wide range of things. You got some tricep movements and he sorta tricep extension any further pressing would help even overhead pressing and help the actual bench press itself. And then obviously thickening of the back and making your back bigger and making your back stronger can help a lot as well because your back is what we're lying on and we lie on the bench, the shelf, it's the stabilizer to everything and uh, and then squat.

Speaker 2:          05:20          And then Saturday is our squat day. Um, and then again all the assistants exercises to everything. After that, it's going to be all, all movements that are going to help increase the strength of the squat. And again, Sunday is kind of anything that you missed where the week or anything you want to Polish up. Maybe you have a lagging muscle group, maybe you conditioning sucks. So you might go outside, push the prowler, push a sled or something like that. V The vomit. Rocket Prowler. So let's, let's keep moving here. Other, these bench presses are a lot wider and a lot thicker. Everything in this gym is, is specialized field is barbell. Couldn't fill that bar. Cool. Very rough. It's, it's like a cheese grater. Grater. Yeah. What's, I mean what type of a test of these myths? The wife, he loves that you're, you're gentle caressing hands. Gross. What's, uh, what type of bench is this?

Speaker 2:          06:15          What does the manufacturer, yeah, this, this uh, particular bench came from uh, elite fts.com and they make a wider, uh, bench so that way your shoulders aren't off the bench. And then also the pad is very thick so you can really sink into it and drive into it. A lot of times a bench press becomes very unsafe when you're, if you press off of a board rather than like a nice thick pad because your, your Scapula is moving and sliding and gliding around in the shoulder socket as you're pressing and you're going to need a nice soft pad two to help be able to pick up the phone. And these are four bands. Yep. That's the hook. Some bands in there. You take the band and you put it up here and you're, you're good to go on that. What is this for? What is, what does this hold?

Speaker 2:          06:59          Oh, that's for a, that's a safety safety support, which I got it. You see how much we care about that? We don't have it in there. So that would be the equivalent of like a power rack pole that would prevent it from dropping under the chest. Correct. Got It. Yeah. The bench down at the end has one you can see. Oh, right, right, right. I got it. So if you get stuck in your weakest range of motion, you can pop it up onto this. Yeah, you can just drop it right there and they're good to go hot it. Got It. What is this? Oh, uh, you shouldn't ask the pitch shark. Okay. There's a lesson, a Tim Ferriss. He's going to learn. Oh boy. Don't ask questions unless you want to be put to work. So we're going to move some of this stuff out of the way. Okay. And we're going to make Tim Ferriss squat. All right. Fuck it. And do all this even when we don't even care how much weight's on there. Yeah, that's, that's well, I do care. I don't know way. There's, there's some of that on there. Hold on. Keep it later. Too much. A little too much.

