Speaker 1:          00:00          Okay.

Speaker 2:          00:13          The one to offer a few thoughts about how to think about some of these legal developments that you're studying and particularly the McCleskey decision. The class ski really stands out in American jurisprudence has one of those tremendous contradictions. We survived this era of segregation and racial oppression and racial hierarchy. Now that was dismantled during the 1950s and sixties through the heroic leadership. Uh, many people who lived in this community, uh, my office is just a few blocks from the church were Dr. King pastored in 1955. We are just a few blocks from the corner of Rosa Parks. Refused to give up her seat. And around me are the landmarks where activism by people who were black and white, young and old force this country to recognize, uh, that the legalized use of racial bias and discrimination, uh, the legal lies, marginalization and subordination of people of color could no longer be tolerated.

Speaker 2:          01:26          It's interesting, uh, to be celebrating the 50th anniversary of many of these milestone achievements and civil rights and then be required to read McCleskey vs camp because the McClusky decision that actually stands in stark opposition to much of what was discussed and achieved, uh, in the 1960s accord in the class game does something that I've never really recovered from, which is to kind of talk about and to concede bias and discrimination and America's death penalty. And, uh, I think one of the challenging things when you read McCluskey is to see the court painfully aware of these disparities. I mean, this one's a case that was presented to the court after a long line of cases had asked the court to deal more honestly and more effectively with the legacy of racial bias and the middle justice system. When you look at death penalty cases, you actually have to see this trilogy emerge.

Speaker 2:          02:25          It begins with Greg in 19, excuse me, with Fermin in 1972, but the court strikes down the death penalty after declaring that it's arbitrary, it's capricious. It's like being struck by lightning. And the park affirming that I'm interested in is actually the part where Justice Marshall Educate the court about its history of racial bias and discrimination. And it's Justice Marshall that points out that between 1930 and the time of the Furman decision in 1970 to 87% of the people who executed for the crime of were African Americans, uh, convicted of crimes involving white victims that almost all of the people that's cute. It for that offense where people executed for offenses involving victims who are white and his racial legacy. This racially discriminatory context is what's really meant by the arbitrariness language, the capriciousness language that the court uses in striking down the death penalty and affirming.

Speaker 2:          03:26          Now and then of course we have the grant decision in 1976 it's a few years later, uh, reinstating capital punishment, upholding capital's punishment and lawyers from the legal defense fund made the argument that um, nothing had changed in America or too little had changed in America now to justify the court finding the death penalty constitutional now in ways that it had not four years earlier. But the corpus in a different mood. And the court essentially said, well, we're not going to presume that the modern death penalty wool, I act in the same discriminatory manner that the old Desmond t act, they credited these new guided discretion statutes and these new procedures as safeguards that would shield the death penalty fuck the racialized discriminatory history, uh, that Ted sustained and created it. And of course, uh, those of us who are working on these cases quickly recognize that these new procedures, these new safeguards were inadequate to overcome the legacy of racial bias and discrimination.

Speaker 2:          04:31          Now that surrounds the criminal justice system. And that gave rise to a death penalty that was every bit as biased and discriminatory, uh, in the late 1980s. And that's the context that, uh, set up the McCleskey decision. It was a choice by litigators to prove to the court that the safeguards were not working, that the death penalty was still biased and discriminatory and the data was very compelling. Uh, there was a study done. The study presented some very, uh, shocking but powerful findings about the prevalence of race bias, uh, being 11 times more likely to get the death penalty if the victim is white than that. The victim was black, was an astonishing finding. The finding that you're 22 times more likely to get the death penalty if the defendant is black and the victim is white. It was an astonishing pining, even the 4.3 times more likely to get the death penalty if the victim is white than if the victim is black.

Speaker 2:          05:28          A statistic that the court relied on was an astonishing finding. It's an incredible showing of the prevalence of race consciousness in a Georgia's death penalty then to have the court except these data to make the choice to not quibble with the data, to believe what the day to say to us about disparities based on race and nonetheless uphold Georgia's death penalty was, I think the difficult thing. Uh, and I tell people all the time that in my career and I've been representing people on death row now for nearly 30 years in my career, probably nothing has been harder for me than reading. Now the court's decision in the class ski, we had allowed ourselves to be hopeful about what the court might do a and to read a five, four decision where the court talks about these disparities as if they are just artifacts of our society.

Speaker 2:          06:25          They are just, uh, in the landscape in ways that we have to tolerate and embrace was deeply distressing. Uh, the court had a line of reasoning that said, well, basically if we recognize the disparities in the death penalty and we create constitutional remedies for these racial disparities in the death penalty, it couldn't be just a matter of time before lawyers start complaining about the same kinds of race disparities in the administration of other kinds of crimes and criminal laws. And they'll find the same disparities for drug crimes and property crimes and other violent crimes. And, uh, this, uh, this fear, justice Brennan in his descent characterize it as a fear of too much justice, uh, cause the court to decide to do nothing. And for many of us that was deeply disheartening, but it was the second part of the court's opinion that I found most distressing this line, which where the court says a certain amount of bias, a certain quantum of discrimination is in the court's opinion inevitable.

Speaker 2:          07:25          And that language is the language that still haunts me. It still troubles me. It's what really, really has changed my relationship to the law, uh, because we cannot talk about the inevitability of race bias in a society like America without doing deep injury, uh, to our efforts and confronting race bias. I'm a product of Brown versus board of education or grew up in the community, were black children, could not go to school. Uh, in the public schools. We had to go to a colored school. And I remember when lawyers came into our community to implement the Brown decision. And, but for their willingness to intervene, but for their applying and implementing Brown in my community, I wouldn't be sitting here talking to you today until I know the power of the law. I know the power of what the court can do, not when it rejects evidence of race bias and discrimination.

Speaker 2:          08:23          And I know the consequences of that law when the court refuses to do that. And I just want to offer a little bit of analysis of why I think the court got it wrong. I think the court got it wrong. Um, for the same reason that we often get it wrong, we think and talk about racial inequality in America. When we talk about racial injustice in America, we tend not to talk in historical terms. We have a very superficial understanding of what our legacy, our history of racial inequality has done. And it means that we sometimes react to claims of racial bias and discrimination in a very superficial way and were easily provoked by the assertion that there is racial bias where easily discouraged in thinking carefully and critically about what these assertions me. And we're quick to be exhausted by the whole topic. And what's sad is that it doesn't take very much in most parts of this country to create racial conflict, racial tension.

