Speaker 1:          00:00:06       We're meeting

Speaker 2:          00:00:09       kitchen. Um, and there's the middle section of the poem, literally a place of transition between, uh, the have the world of health and, and, and all the evil that we have witnessed. And then the, the, the realm of glory, which is going to be paradise. Um, uh, let me say a few things about purgatory, both as an idea and, uh, as, as a, a poetic construction, Dante's poetic construction, um, as an idea, uh, the were Dante understands it. Precatory is part of a human geography, as you know, it's, uh, located in the southern hemisphere. There are two hemispheres in medieval geography, the Northern Hemisphere, which is that when we inhabit, and then there is the southern hemisphere, uh, the purgatory is an island. I have tried to explain to you last time the origin of this place in Nantucket Mitchell boy, uh, uh, thinking, uh, it, uh, it's an island that emerged from the northern hemisphere at the time of Lucifer's for, uh, the earth trembles and retreats.

Speaker 2:          00:01:37       That's the idea, uh, as Lucifer approaches and such does, it creates the void, which becomes hades, the abyss and the island. And the, the purgatory emerges on the other side, the southern hemisphere, the top of the pool. That story there is the island of, there is the, the, the peak is the garden of Eden. They are where God placed Adam and eve. So that, uh, from this point of view, purgatory is part of human geography, but it's historically in accessible to human beings. One hero that already we already met you listen in, in federal 26 tries to approach an island at retrospectively, we can understand that that was, uh, the island of purgatory. This is a place of immortality that you listeners wanted to reach and uh, could not that journey of his and the, the shipwreck and tragically, uh, in federal 26 is the text for that kind of concern.

Speaker 2:          00:02:38       The other trait about a purgatory moral trade, uh, since this is now, uh, we are going to enter the realm of reconstruction of the human and the soul to make sense. A dentist should place it immediately after hell. It is as if only by knowing, only by experiencing more or less as metaphoric ways we can through the poetry of Dante. The nature of evil and the horror of it. Can we begin to have an appreciation of, uh, of the good, the good toad, which, uh, now the pilgrim is going to climb. The other, the other thing that you should keep in mind about, uh, uh, about, uh, progress or in the difficulties that the poet we'll have, uh, is the following. Uh, the perception of moral life and political life in purgatorial was so satanic, so narrow, so terrible that Dante's going to have a lot of quite a, quite a, quite a challenge to try to explain the, the usefulness and, and the, and the possibility of reconstructing a moral world and the political world.

Speaker 2:          00:03:52       He was, he came very close to a total rejection of a, of a historical world and the political world. And now he has to find out how that reconstruction is going to be possible. The way he will do this is literally to go back to the natural world. Do not expect Dante to imagine a place where there is some kind of redemptive intervention from the outside. I can tell us this is the way you do it. No, no. The natural world, a world, the natural world, it must be capable of producing within itself. Some at least contain some seeds for a need to reconstruct for a need for the good. So this is going to be part of, uh, uh, his, uh, his strategy and his difficulties at further tray to purgatory, which was really completely missing in the Fed. And the Fed we had never had a sense of time.

Speaker 2:          00:04:48       Time was the biological clock of the pilgrim who was the only living creature, the only truly displaced figure. And he is the only displaced figure throughout the poem and purgatory who will find further. They're all displaced figure. So it's a more human, uh, world. Uh, but here now they have their sense of time. In fact, the first thing that we, we, we come to understand is how, what time is it's time understood as future oriented, as a projection in some kind of future. And at the same time, this idea of time also turns out to be in a return to the past so that as the pilgrim is going ahead, he's literally discovers that he's going backwards. To the garden of Eden exactly there where Adam and eve were placed at the top. Who Purgatory. Bye Bye, bye God at that time in the store that you have in, in Genesis, uh, uh, for instance.

Speaker 2:          00:05:47       But this idea of time, this will become truly a light motif throughout full authority idea of what is the relationship between the past and the future, since the only real time is really the future. And from that point of view are, which makes you understand that even the past was the future at some point at least. Right? So the future is the only thing that Dante is going to be interested in and the future will come and the possibility of a future and the way it's related to the past will become, are the object of his concerns, the object of his thinking or openly as he goes through the various Ah, ah, Ah, the Veterans Ledger. So purgatory, poetically, the poor guitar is divided into two, two to three parts. I would say actually the, the first part is the so called anti purgatory made of souls were awaiting, uh, don't, don't really penitence yet, but waiting to be assigned a particular place along the ledges.

Speaker 2:          00:06:47       And then the so called penitents who are going through the process of cleansing, beginning with pride and ending up with ending with luxury at, uh, just before the pilgrim gets into the garden of Eden. The ordering of sins is the exact reversal of the ordering of, since you had an in fair no, here you begin with a spiritual, sane or intellectual saying the question of pride and end up with the most physical and material of the more luxury, which as you'll recall, is the, the inverted image of what happened in, in, uh, in, in fan. All right. With the Lucifer and the scene of Lucifer being really seen of, uh, of pride at the end of Ken to 30 for the, well, having said this, maybe other things will come to mind as I go on. Uh, uh, uh, today. And let me begin with, uh, uh, with, uh, some other couple of details is just getting to plunge into the, the can to one where, where is the pilgrim?

Speaker 2:          00:07:51       Now, the poem, the journey began on a good Thursday, as it's called, right? The Dante spends the first night, but the journey, the real journey begins on Good Friday in a clear imitation of a, uh, Christ's, a harrowing of Hell and emergence into the light on a Easter Sunday. That's where we are now. Easter Sunday morning, if the federal begins at dusk, and therefore, uh, the, the, with the idea of the approaching night and night that stands for the and no ability of whatever he's going to confront. The dentists fascinated with the idea of the night throughout, uh, in fan reimagine. Remember a Ulysses who travels following the sun and then the, and, and, and ends up really gazing at tonight, the unknowability of his destiny. They had no ability of the place even where he is. Now we'll begin with dawn and therefore 10 to one of purgatory becomes that which in province our literature, it's called an Obod.

Speaker 2:          00:08:53       Oh, from the word [inaudible] in Italian a U, B a, d, e the, the song, the dawn song, a song that in many ways reverses, uh, the grand tradition of, uh, the erotic lyrics of a, of a province are, uh, poetry, uh, where the dawn becomes the unhappy time for the parking of lovers. And here now it's regained as the great time when finally, uh, um, the pilgrim can go on and the port and go and mapping literally now mapping the journey, sailing through or sending is the metaphor that he asks a that he adopts or can be in deployment. The second part of the point purgatorio begins first of all, with an image of water and, and, and therefore it, it carries further this motif of the cleansing and purification. But really with a better metaphor from our point of view to course of a better waters, there'll bock who my width now lifts her sales leaving behind her.

Speaker 2:          00:09:58       So courtesy and that will sing of that second kingdom where the human spirit is purged, it becomes fit to ascend to heaven. But here, let poetry rise again from the dead or holy musers since I am yours. And he'll let Kalia pay rise up for awhile. And the company, my song without strain, which smote the ears of the wretched pies so that they despaired of, pardon, it's an extraordinary problem, uh, to, to purgatorial with for a number of reasons. First of all, [inaudible] picks up the metaphor of the, the, the, the epic oppose the epic metaphor of, uh, of, uh, the, the, the journey, uh, with which the poem began in the middle of the journey of our life as you recall. But now this, uh, uh, this, this, this idea of the process is indicated with a all failing. Therefore, literally recalling the, the, the sea voyage of Ulysses.

Speaker 2:          00:11:03       What's, that's one an oblique metaphor, but I want to draw your attention to the use of this adjective, a comparative adjective. That's where we call it in grammar, as you recall, the better waters. Uh, it's Dante's emphasis at exactly on the process. And then the con, the comparatively good. This is not the best of waters. It's not the worst of worst. This is the better waters. We are really in the, on the way to, uh, to better things. It's, it's a world of be green, uh, that Dante introduces visit that have really believes in a, in a sort of hierarchy, in the hierarchy of, uh, of, of values, of states, of, uh, of powers, of a, of beauty, of intellect, the world be a, it's an a dualistic world between what's bad and what's good. They said a lot of mediations, mediating steps along the way, and now he already introduced this, this, this, this whole question with an ocean of the better waters, the little backroom, my witness.

Speaker 2:          00:12:11       This is not only a journey. The interesting thing is this is a journey of poetry. It is as if Dan Pennell wants to highlight a motif which is going to be very crucial throughout the poem and in our reading of this poem that they really, at this point, I have been addressing this issue. So some of your questions that there really is no sharp, no drastic discontinuity between the, the journey of the pilgrim at the journey of the port, right. That the journey of the poet is an extension. It in itself is a journey in itself, is a journey of knowledge and a journey of discovery. And Dante makes, uh, a large claims for poetry. Poetry is a way of knowing. It's just not a and ornamentation recommed memorization of the past. Now here he talks about the journey has been the journey of poet, the little bark of my weight.

Speaker 2:          00:13:02       It's a conventional way of thinking about the bark of poetry with which he is. So they say, there seems to be a way of saying this is now more at this stage, at least it was to us to think about the journey of poetry and not just the journey that he himself will use. Uh, we'll, we'll, we'll, we'll undertake the journey of the pilgrim, the hard, difficult to journey, uh, filled with fear, uh, that, uh, that he was experiencing in, in, in, in federal. And I also want to draw your attention to another little detail of the text. This is this the first time now that Dante, we use the future tense. I will thing we're in the world to open to futility and if it's open to future, the only way of thinking about futurity is made possible by a belief in the new.

Speaker 2:          00:13:53       You have to not really think, yes you can think of the future, but if the future is exactly as as as it is today, then you really have no future, then you really think that all is released into the domain of sameness. You know, if my day today is exactly what more the the, the world that I experienced yesterday, there's no new, no idea of the new and that instead here now users the future and clearly implying that there is an alternative, a difference, a possibility of doing things in ways that have not been done before. This is going to be a new departure and new departure for thoughts and new departure for the imagination and now he says it has to be also a new departure for poetry itself. I emphasize this idea of the future, I will sing the first time that he will.

Speaker 2:          00:14:45       He wasn't saying this in fan. Of course he couldn't even say that in the Vita Nuova you remember that I pointed when we were reading the little autobiographical great text called the Vita Nuova, the beginning of the term. I indicated to you that there is never the future tense used in that, in that, uh, in that text it was all a book of mammary with the difficulties and the dangers of mammary. Dangerous with memory being that memory changes can draw us into a world of fantastic. That's one of the, it's not a rejection of memory, only a way of highlighting. It's possible dangerous, right in the belief that they should live with some idea of danger. Maybe we are not really thinking are hard enough. So here now it's the, the, the only time that the future was using the Vita Nuova was either in the idea of death, when Dante has a prophetic dream and he hears a voice that he perceives as a kind of so, so, so truth leading is that voice that he thinks of it as a kind of, uh, of profits is a Soto of Oracle speaking to him.

Speaker 2:          00:15:51       You too will die. Beatrice has just died. And then the death of Beatrice brings to his mind the fear and threat of mortality to him. You too will die. That's the way the future's going to be understood. But then the poem, the whole Vita Nuova ends with a statement of hope. I hope to work and write things whereby I can say I can dry. I can say things about, uh, uh, about Beatrice. I had never been said about any woman. And so that becomes the two possibilities. So that's usually the only, literally once grammatically, the future tense. And the other one with, through this, uh, petty faster construction too. So bleak construction. But the hope, the verb, we use that to, uh, in with the idea of the future indicator there and then, uh, but he'll let poetry rise again from the dead and the prayer to the musers very much in the style of the epic tradition and especially of the music two one, the Muse of the epic poetry Kaleo pay.

Speaker 2:          00:16:52       But then this, the focus on Calliope we really tells you something about the kind of, uh, uh, I think retrospectively Reid explains, but let here they'd poetry rise again from the dead. Uh, the poem presents itself as clear. It was the mother of whom anybody remember? You remember your mythology, okay. No, you don't now, but it's, it's the mother of all fears so that they let their poetry rise again. Uh, let that poetry rise again from the dead. It's, Dante presents himself as it were, a Norfolk poet. He was Nora Norfolk poets, but it's for the airport in the traditional Morpheus who wants to conquer death. That's clearly enough for him. That's, that's what the old fuse descent into the underworld really is. The way of conquering death, the belief that poetry can do the trick. That's true poetry. We immortalize ourselves, we conquered death. He's going very soon to talk to him to understand that that's not the way he is going to do that.

Speaker 2:          00:17:57       And then something, a second paragraph, I want to read it a little bit because it really gives us a different sense of the tonality of Purgatorio because there's not only you have now morning and time, you also have for the first time light, not this hotel have a spectacular shades of light. The blue, the reds, uh, uh, the green with which he experiences and dramatizes paradise according to the lights emanating from the various planets, red of Mars, the white of Jupiter, the blue of Saturn. And so there is a kind of public, chromic, a pallette that is going to be deployed here. It's now a more human and natural world, the natural world. And listen to this. And then this enables me to say something else about the traits of, or the sweet hue of the Oriental Sapphire, which was gathering this region, face of the heavens from the cleared zenith to the first circle.

Speaker 2:          00:18:58       Gladden my eyes again. As soon as I passed out of the day there we should affected my eyes and breast. They're fair planet that prompts to our Venus the morning, the morning star that loved me, the older east laughs veiling the fissures, which were in her trains. I turned to the right. You remember that? I, I sort of tried to explain to you that with one exception that I can't explain, nobody can explain. And on very few people have noticed, uh, the, the, uh, Dante now is turning to the right, which is to say that even while going down, spiraling down in the world of l, he actually was going to the right, though he'd said that he was going to the left and he was going to the left because it was upside down. Now he's right side up. And so the directions of the human world are going to be, uh, to be regained.

Speaker 2:          00:19:54       So I turned to the right. He will never use this image again and set my mind on the other pole. And I so far stars never seen before. But by the first people, Adam and eve, the sky seemed to rejoice in the flames. All we do, regions was the north since Dour, denied that side. The northern hemispheres where we are, Dante's in the southern hemisphere, he is connecting with us, telling us what we are deprived of in by not knowing, by having lost a paradise. A couple of things that I will not since then we'll go back to these images. Um, the, the way he literally orients himself, let the metaphor he uses is that of, uh, here, uh, is the oriental light. Uh, and the way he's always orienting a reorienting himself. How do you know where you are is now in, in purgatory and also in paradise?

