Speaker 1:          00:00:01       Why aren't you all home like the rest of the class.

Speaker 2:          00:00:14       My subject today is parrot Cleaves as general. I don't expect that it will take up all our time. So if you like when I'm through I'd be glad to respond to any questions or comments that you want to make about the Peloponnesian War.

Speaker 3:          00:00:33       So if you're if you think of any as I'm talking I hope you'll have a shot at it. Near the end of his biography of Pericles Plutarch describes his great Athenian leader on his deathbed.

Speaker 4:          00:00:51       The best men of Athens and his personal friends are gathered in his room and are discussing the greatness of his virtues and the power he held. Thinking he was asleep. They added up his achievements and the number of his trophies.

Speaker 3:          00:01:11       For his general. He had set up nine commemorating a victory on behalf of the city. Now we are inclined to think of Pericles primarily as a great political leader a brilliant orator a patron of the Arts and Sciences the man who whose work in the peaceful arts shaped what is often called the Golden Age of Athens so it's useful for us to remember that the office to which the people elected him almost every year for some 30 years from which he carried on all of these activities was that of strata Goss general and that foremost responsibility of Athenian generals was to lead armies and navies into battle. From his own time until modern times Pericles talents as a general have been criticized and defended in the first year of the Peloponnesian War when his strategy called for the Athenians to huddle behind the walls of their city while the invading Peloponnesian army ravage their lands in Attica. Lucidity says the city was angry with Paris police they abused him because as their general he did not lead them out into battle and they held him responsible for all they were suffering in the next year after another invasion and destruction of their crops and farms.

Speaker 2:          00:02:47       And after a terrible plague had struck the city against acidity says they blame Pericles for persuading them to go to war and they held him responsible for their misfortunes. At a lower level the poet Herr MIPS one of the poets comic poets whose work we don't have but occasionally we have a quotation and here's one. Herr members present to one of his comedies in the spring of 430 the second year of the war that simply charged Paris Cleese with cowardice. He addresses Pericles as follows. King of the SAT here's why don't you ever lift a spear but instead only use dreadful words to wage the war. Assuming the character of the cowardly Teles. But if a little knife is sharpened on a whetstone you roar as though bitten by the fierce click on clean as you know was his major opponent in the last years of his life and Clinton was hawkish and an advocate of aggressive active fighting.

Speaker 2:          00:04:02       Now the title of this talk Pericles is general is also the name of the most vehement modern attack on Pericles. As a general I say modern of course I'm talking about the 19th century when you're an ancient historian. Things take on those proportions. The author Dr. Julius fun fluke Hartung was a veteran of the Franco Prussian war and an appreciative student of what he took to be the lessons taught by the great military historian and theorists theorist Clausewitz. He believed that he had acquired some useful knowledge of the science of war as he put it that led him vigorously and entirely to condemn Pericles as general generalship in Pericles conduct of the Peloponnesian War he says. We see expeditions without inner unity without the possibility of greater results. And I'm quoting Luke Hartung now to avoid danger. Pericles regularly gave away important advantages. Overall we find the effort to lose no battle but nowhere to win one as much as Pericles personal courage operated in battle and in the assembly. So little did he have the courage proper to a general which boldly risks the life of thousands at the decisive moment. As such he belongs to those. One may say a philosophical group which brings everything as neatly as possible into the system and plan. Instead of acting openly and vigorously. It is a fact that cleaves the chief advocate of the anti Spartan policy never offered a single battle against the Spartans at the higher level of strategy. The critique of Pericles is no less severe prickly is was a good minister of war.

Speaker 5:          00:06:09       Who made far sighted preparations but as General he did not know how to make good use of the existing situation. Again I quote He was a great booga Meister. This means mayor said it was not a very friendly thing to call the great general who led Athens. It was a great burger Meister. In the true sense of the word. There is the rich many sidedness of his nature which was then by that which came into play his superiority to corruption everything petty and paltry. Yet he lacked the prophet's vision and the certain luck of the born statesman. Above all he lacked the recklessness which is often needed to lead what has been what has begun to the goal. As the leader of foreign policy he was not comparable to a sin Mr. Cleese as a general not even approximately to Akeem on so that's the harshest of the critics of Pericles.

Speaker 5:          00:07:19       Over the years but Pericles has been very lucky over the years in his defenders in antiquity. His performance was justified and praised by lucidity. It was after all a contemporary general himself and the historian of the period whose interpretations have dominated opinion ever since he wrote for all the objectivity of the acidity style he tells the story very much from Pericles viewpoint. For instance when he describes the revolt against the Athenian leader in the second year of the war and the Athenians unsuccessful effort to make peace. This is how he describes the aftermath being totally at a loss as what as to what to do. They the Athenian people attack Pericles and when he saw that they were exasperated and doing everything as he had anticipated he called an assembly since he was still general. He wanted to put confidence into them and leading them away from their anger to restore their calm and their courage.

Speaker 5:          00:08:32       He reports three of Pericles that is to say Cincinnati's does reports three of Pericles speeches at length without reporting any of the speeches made by his opponents on those occasions with the result that the reader is made to see the situation through Pericles eyes. And finally he makes his own judgment perfectly clear coming down firmly and powerfully on the side of Pericles and against all of his critics here's what's to say that he says as long as he led the state in peacetime he kept to a moderate policy and kept it safe and it was under his leadership that Athens reached her greatest heights.

