Speaker 1:          00:00:01       Do you need to wipe down what's with the jeans?

Speaker 2:          00:00:21       All right. Thank you David for sending a dope beats. Man. I love when you guys send know your songs, your instrumentals. It's all great for the show. Thank you very much. Um, welcome to your mom's house. We are video recording this again. Louder. You discovered the video for the first time last week. We're very excited to have video now of Michelle incriminating now. I can't roll in like total shit. Yeah. Um, can you tell me how bad I look? Fat. Tired. Thank you. You guys look like you just rolled out of bed. It is good. We did by the way, note for, for big guys especially. Yeah. You wear a shirt that's too big for you. You look even fatter. Yeah, that's true. It was way too big. It was. This is a shirt that fits still fat but not quite as fat. So still hashtag still fast.

Speaker 2:          00:01:25       Hashtag still fat. Not Quite. Um, let's see. Next week I'll be in Barton [inaudible] Harry Zona. Hey at stand up live downtown Phoenix 26 and 27 parts and only four shows. Uh, so please get your tickets now to come on me. Washington, Tacoma, comedy club. Good work. March 10th through March 12th, there's already a sold out show and that's in, that's a month from now. Um, the punchline comedy club and back in your mouth. Sacramento. 17th through the 19th of March. And then Cleveland, Cleveland Steamer hilarity his club and Cleveland Steamer, Ohio. Uh, March 31st through April 2nd, and then finally in April, Spokane. But he got for that spring. Can we can, yeah. Comedy Club in Spokane and sperm can Washington. Uh, there are more cities and dates coming through through the rest of the year. Really. So as those come, I'll announced them. Jeans, anything. Yeah. So I'm, I'm doing a fundraiser with Mary Lynn Rice Cub. Joe Rogan. Rach Cooley Bay. Yes. Joe. And uh, I think Greg Fitzsimmons March 9th at the comedy store. Eight o'clock. It's a fundraiser for a Firebase. Oh, for school.

Speaker 2:          00:02:56       What does that sound more noble than like, like my bullshit school fundraiser sucks. I don't know. So come out and help a cause is from Maryland. Maryland's kids school, I think is what that was for. Uh, April 1st and second flip Harris Comedy Club in Sperm Bank. No. Fornia for 20. I met the Ventura Comedy Club. Hitler's birthday. Thank you very much of Ventura comedy club. Eight o'clock show. March 27th through 28th La Jolla comedy store. It's all on thousand ranch.com. Check out. That's deep, Bro. podcast.com this week I have a psychotherapist on and we're discussing serendipity. It's not a Sandra Bullock movie. It's no synchronicity. Synchronicity, the random things coming together and they means not moving, sir. Deputy not with her. Wasn't that what? It's synchronized. I fucking bored. Yeah. Yeah. I don't know some other Andrew, what a saying to Kate Beckinsale back in sale to sale. There's no Z in it. Okay. What happened to her?

Speaker 2:          00:03:56       She's anorexic. She's dead. She died. I didn't know she was dead. She doesn't eat. I don't know. I really liked her though. She's British. Yeah. Do her accent quickly for you. Left a note in my glove. That's it. You love it. Eh? I can't wait to see you neither can my con. Hmm. That's, that's what John Cusak, that movie love and my pussy movie glove and my pussy. And then she's like, have you wanted to see my car this whole time? I can fit all five fingers of this glove in my asshole. Yeah. Guys, also, if you do your shopping on Amazon, I implore you to use our banner. Go to your mom's house, podcast.com. Click on the banner at the bottom of the homepage and deer shopping as you normally would. It just helps the show, gives us a little money, helps us do things like keep the video.

Speaker 2:          00:04:48       Camera's rolling and there you go. Anything else? Am I forgetting? Twitter, accuracy and p Twitter at, what's your name again? Tom. Tom Segura you have verified. Oh yeah, it's, it's huge. I should also say all my tickets if you haven't figured it out. My live shows Tom. Dot. So don't forget, wait, when did you get verified? I got verified a couple of weeks ago. And did she say anything to me? I feel like I did. I did. Damn sorry. I'm totally should have thrown a party and I had a party. Oh yeah, you weren't there. I had a great party. It was awesome. Everybody was having a good time. Well that's funny cause I know what that's like. I've been verified since the beginning of verified yet. No. Oh, that's sucks. Or Facebook or verified for like a year. Maybe more. Why didn't you have to pause? I mean like a bear and when you just want you to realize what's it must suck to not have a Facebook account.
