Speaker 1:          00:01          No.

Speaker 2:          00:04          Hello everyone. Welcome to the Lange Focus Channel and my name is Paul. How did Greek influence English? That is the question. As I mentioned in my recent video on the Greek language, Greek is a language that has influenced many others including English. The most remarkable way that Greek has influenced English isn't it's vocabulary. In my previous video, I briefly mentioned that around six percent of the vocabulary of English is of Greek origin, but that some estimates reach as high as 12 or 15 percent. This depends on how you measure it. You can measure type frequency, the percentage of the total number of words with no regard for how often they're used or you can measure a token frequency, meaning the proportion of words in a given speech or text, so words that are more frequently used account for a larger proportion. There's a huge number of words of Greek origin that are used in specialized areas of the sciences, medicine, and technology that aren't used very often in regular speech.

Speaker 2:          00:59          So if we measure type frequency, the percentage of Greek words will be higher because less common words are given equal weight. If we measure a token frequency, the percentage will be lower because less common words are counted less. I believe that the figure of six percent is based on token frequency and the higher figures are based on type frequency. Some Greek words were borrowed directly from Greek into English. Some of these were borrowed early in the history of English like church from the Greek word [inaudible], which entered old English as cute chick and some were borrowed later in the early modern English period. For example, autonomy. This word entered English directly from ancient Greek out to nomia in the 16 twenties, but a larger number of Greek words entered English indirectly through Latin or through Latin than French. For example, museum. This comes from the Latin word [inaudible], meaning library or study, and that comes from the ancient Greek word Moose sale, which meant place of study, library, museum, or school of art or poetry.

Speaker 2:          02:01          And if we go back even further to the original meaning of the ancient Greek word, it meant the seat or shrine of the muses. The nine muses were the daughters of Zeus in the Masani. They were goddesses who symbolized the arts and sciences. Another example, the word olive entered the English language around the twelfth century ce, either from old French bullies or directly from Latin Oliva or Oliva, which in turn comes from the Greek word a lie. Well, the word chaos comes from the Greek word cows and entered English in the 14th century via Latin than French catastrophe entered English and the 15 thirties from Latin catastrophe from the Greek word catastrophe, which was originally pronounced as cholesterol pay, meaning and overturning or a sudden end. The word democracy entered English in the 15 seventies. It came from the middle French word. They mccloskey which in turn came from medieval Latin Democrat, which came from ancient Greek.

Speaker 2:          03:03          The word paragraph entered English in the late 14, hundreds via medieval Latin and French, and it comes from the Greek word [inaudible], which was originally pronounced as paddock it. I pause and there are many more words like this, the largest number of Greek words to enter English. We're actually newly created words. They were newly created using Greek morphemes, but they're words that hadn't existed in Greek before that point. And then those words were borrowed from Latin into English. Some are formed from only Greek morphemes, for example, photography. This word was created in 1834 by combining photo, which meant lights in ancient Greek and the ancient Greek suffix graffel meaning to scratch or to scrape, but later meaning to right. And if you're wondering how those different meanings are related to scrape and to write well, think about how people used to write thousands of years ago. They used to scrape letters into stone tablets.

Speaker 2:          03:57          Another word, xenophobia or xenophobia. This word was created in 19 Oh, three from the Greek root, phenols meaning alien and phobia, meaning fear. Other words were formed from a combination of both Greek and Latin morphemes. For example, television. This word was created from the Greek morpheme t lay meaning far or at a distance. And the French word, Vco meaning site. This word entered English via French. Another example, automobile. The first part comes from ancient Greek autos, meaning self. And the second part comes from the French word [inaudible], which means moving, which came from Latin moby. These movable sociology. The first part comes from the Latin word Celsius, meaning comrade, and the second part comes from the Greek morpheme loggia, meaning discourse. Now just have a look at them morphemes that are highlighted. You've probably seen many more words that feature these same Greek morphemes. There are lots of common Greek roots in English, for example, and throat meaning man, crone or Chron, meaning time them meaning people, head meaning child.
