Speaker 1:          00:01          Whoa.

Speaker 2:          00:18          Hello everyone. Welcome to the Lange Focus Channel and my name is Paul. Today's topic is the Hungarian language or my job and he has, as it's called in Hungarian. Hungarian is not just another European language. There's nothing else quite like it for starters, it's not an Indo European language. So when you look at a map and see that Europe's Hungarian speaking areas are surrounded by Indo European languages, you have to ask yourself, how did Hungarian get there? Most Hungarian speakers live in the carpathian basin, bordered by the Carpathian mountains to the north, east and south. That includes not only around 10 million speakers in Hungary, but also in areas of the basin in neighboring countries, including Romania, Serbia, Croatia, Slovenia, Austria, Slovakia, and Ukraine. The largest Hungarian speaking minority is in northwestern and central Romania were around 1.2 million people speak at or around 6% of the country's population.

Speaker 2:          01:20          All of these Hungarian areas in the car pay the invasives. We're part of the Kingdom of Hungary until 1920 when many areas were seated to other countries. But how did they get there in the first place? Hungarian is a member of the eugric branch of the urologic language family, which originated in the vicinity of the Ural Mountains, which separate Europe from western Siberia. The urologic languages include two main groupings, semiotic, which was the first group to branch off from your Alec and Pheno eugric around 2000 bce or maybe earlier Finnell eugric split into protal Eugric, the ancestor of the eugric branch, and Prodo Finnick, the ancestor of the Finnick languages, including finish and Astonian. Prodo eugric remained a unified language for more than a millennium until Hungarian diverged from it around 800 bce. There's some debate about whether the Hungarian ethnic group, the man jars, originated to the west or to the east of the euro mountains.

Speaker 2:          02:17          But at some point around 2000 years ago, they became nomadic in response to changes in climate and landscape, and began gradually migrating towards the West, eventually reaching the Carpathian basin in the ninth century, both while settled near the Ural Mountains and while migrating west, the madge, ours had extensive contact with Turkic peoples. For instance, the my jars formed part of a tribal alliance with Turkic tribes called on. No good meaning 10 tribes, which was based in the northern Black Sea area. This, by the way, is the most likely origin of the term Hungarian and it's equivalent Udon Gotti and Latin uhmm [inaudible] in Greek and own Goodie in Podo Slavic after the owner Guler alliance disintegrated, they became part of the cozaar connate, a Turkic Empire covering much of the Caucasus region and the Black Sea area for a time. They collected taxes from Slavic people on behalf of the Kossar's until they became politically independent from the Kossar's in the year eight 30 this interaction with Turkic tribes and political entities led to significant Turkic influence on the Hungarian language.

Speaker 2:          03:22          It's hard to give an exact count of the number of Turkic loan words in Hungarian, but this lexicon contains around 500 loan words from old Turkic. Also, the old Hungarian script developed from the [inaudible] script, the Turkic runic script that was used by the Kossar's in the ninth century. The majora's. We're carrying out frequent raids in Europe and in the year 896 they crossed the Carpathian mountains under the leadership of outer pod and began settling in the Carpathian basin by the year 1000, uh, Christian kingdom was established under King Stephen. The first under him Hungarian began to be written in the Latin Alphabet, but for some time the old Hungarian script was used as well for vernacular writing. It was used by the [inaudible] until at least the 17th century and since the early 20th century, it has undergone a revival to some extent with limited use for symbolic and cultural reasons.

Speaker 2:          04:19          Stephen the first also med Latin, the sole official language of Hungary. And it remains so until the 19th century, the old Hungarian period, the old Hungarian period conventionally begins with the settlement of the car pay the invasive. This is around the time of the earliest fragments of written Hungarian, which date back to the 10th century and a written than the old Hungarian script. Isolated words written in the Latin alphabet can be found dating back to the mid 11th century. And the oldest extensive texts is from 1192 the late 12th century. Hungarian has changed relatively little since the old Hungarian period, but due to contact with other languages and the assimilation of other tribes, it has absorbed words from a variety of languages, including German and the erotic and Slavic languages as well as Latin and the Turkic languages we've already discussed. Middle Hungarian, the Middle Hungarian period began with the printing of the first books in Hungarian.
